Fiyat,Oda Sayısı,Metrekare,Bina Yaşı,Kat Durumu,Bina Konumu
"1.399.000
TL",2 + 1,110 m²,10 Yaşında,Kot 1,Ankara / Mamak / Mutlu Mah.
"1.399.000
TL",3 + 1,130 m²,18 Yaşında,Bahçe Katı,Ankara / Mamak / Çağlayan Mah.
"1.399.000
TL",2 + 1,100 m²,8 Yaşında,Giriş Katı,Ankara / Altındağ / Battalgazi Mah.
"1.400.000
TL",2 + 1,300 m²,Sıfır Bina,Zemin,Ankara / Akyurt / Büğdüz Mah.
"1.400.000
TL",3 + 1,110 m²,Sıfır Bina,1. Kat,Ankara / Sincan / Alcı Mah.
"1.400.000
TL",2 + 1,85 m²,31 Yaşında,Yüksek Giriş,Ankara / Mamak / Şafaktepe Mah.
"1.400.000
TL",3 + 1,125 m²,20 Yaşında,1. Kat,Ankara / Polatlı / Zafer Mah.
"1.400.000
TL",3 + 1,135 m²,30 Yaşında,Kot 3,Ankara / Polatlı / Cumhuriyet Mah.
"1.400.000
TL",1 + 1,50 m²,1 Yaşında,Yüksek Giriş,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.400.000
TL",2 + 1,90 m²,5 Yaşında,Bahçe Katı,Ankara / Altındağ / Karapürçek Mah.
"1.400.000
TL",3 + 1,135 m²,28 Yaşında,Yüksek Giriş,Ankara / Polatlı / Yeni Mah.
"1.400.000
TL",3 + 1,100 m²,22 Yaşında,Kot 1,Ankara / Mamak / Peyami Safa Mah.
"1.400.000
TL",3 + 1,140 m²,20 Yaşında,En Üst Kat,Ankara / Polatlı / Gülveren Mah.
"1.400.000
TL",2 + 1,110 m²,20 Yaşında,Kot 2,Ankara / Mamak / Aşık Veysel Mah.
"1.400.000
TL",2 + 1,90 m²,30 Yaşında,Giriş Katı,Ankara / Keçiören / Karargahtepe Mah.
"1.400.000
TL",2 + 1,115 m²,25 Yaşında,3. Kat,Ankara / Polatlı / Şentepe Mah.
"1.400.000
TL",2 + 1,105 m²,18 Yaşında,Ara Kat,Ankara / Mamak / Peyami Safa Mah.
"1.400.000
TL",2 + 0,300 m²,Sıfır Bina,Bahçe Katı,Ankara / Mamak / Kıbrısköy Mah.
"1.400.000
TL",3 + 1,125 m²,25 Yaşında,3. Kat,Ankara / Çubuk / Barbaros Mah.
"1.400.000
TL",3 + 1,125 m²,26 Yaşında,Bahçe Katı,Ankara / Polatlı / Şehitlik Mah.
"1.400.000
TL",2 + 1,85 m²,30 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Tepealtı Mah.
"1.400.000
TL",2 + 1,300 m²,30 Yaşında,,Ankara / Mamak / Kıbrısköy Mah.
"1.400.000
TL",1 + 1,65 m²,2 Yaşında,,Ankara / Pursaklar / Sirkeli Yeşilova Mah.
"1.400.000
TL",3 + 1,110 m²,27 Yaşında,Yüksek Giriş,Ankara / Keçiören / İncirli Mah.
"1.400.000
TL",3 + 1,110 m²,31 Yaşında,Kot 1,Ankara / Mamak / Abidinpaşa Mah.
"1.400.000
TL",1 + 1,55 m²,Sıfır Bina,Ara Kat,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.400.000
TL",3 + 1,125 m²,20 Yaşında,3. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.400.000
TL",2 + 1,77 m²,5 Yaşında,7. Kat,Ankara / Mamak / Kusunlar Mah.
"1.400.000
TL",2 + 2,140 m²,16 Yaşında,Yüksek Giriş,Ankara / Elmadağ / Hasanoğlan Bahçelievler Mah.
"1.400.000
TL",3 + 1,115 m²,26 Yaşında,Kot 3,Ankara / Mamak / Mehtap Mah.
"1.400.000
TL",3 + 1,135 m²,35 Yaşında,En Üst Kat,Ankara / Polatlı / Zafer Mah.
"1.400.000
TL",3 + 1,140 m²,30 Yaşında,Yüksek Giriş,Ankara / Polatlı / Cumhuriyet Mah.
"1.400.000
TL",1 + 1,65 m²,28 Yaşında,Bahçe Katı,Ankara / Mamak / Abidinpaşa Mah.
"1.400.000
TL",2 + 1,115 m²,20 Yaşında,4. Kat,Ankara / Çubuk / Cumhuriyet Mah.
"1.400.000
TL",1 + 1,65 m²,Sıfır Bina,,Ankara / Polatlı / Macun Mah.
"1.400.000
TL",1 + 1,45 m²,Sıfır Bina,Zemin,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.450.000
TL",1 + 1,70 m²,1 Yaşında,Giriş Katı,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.450.000
TL",5 + 1,200 m²,31 Yaşında,,Ankara / Beypazarı / Rüstempaşa Mah.
"1.450.000
TL",1 + 1,40 m²,2 Yaşında,1. Kat,Ankara / Çubuk / Dumlupınar Mah.
"1.450.000
TL",3 + 1,130 m²,23 Yaşında,3. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.450.000
TL",2 + 1,100 m²,6 Yaşında,,Ankara / Çubuk / İkipınar Mah.
"1.450.000
TL",3 + 1,120 m²,25 Yaşında,4. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.450.000
TL",3 + 1,115 m²,25 Yaşında,5. Kat,Ankara / Polatlı / Yeni Mah.
"1.450.000
TL",2 + 1,95 m²,21 Yaşında,Yüksek Giriş,Ankara / Sincan / Atatürk Mah.
"1.450.000
TL",1 + 1,48 m²,Sıfır Bina,Giriş Katı,Ankara / Çubuk / Dumlupınar Mah.
"1.450.000
TL",2 + 1,95 m²,30 Yaşında,Kot 2,Ankara / Yenimahalle / Ergenekon Mah.
"1.450.000
TL",21 + 1,80 m²,Sıfır Bina,Bahçe Katı,Ankara / Pursaklar / Karaköy Mah.
"1.450.000
TL",2 + 1,80 m²,31 Yaşında,Bahçe Katı,Ankara / Çankaya / Erzurum Mah.
"1.450.000
TL",1 + 1,40 m²,Sıfır Bina,5. Kat,Ankara / Çubuk / Yenice Mah.
"1.450.000
TL",3 + 1,125 m²,30 Yaşında,2. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.450.000
TL",2 + 2,90 m²,13 Yaşında,Yüksek Giriş,Ankara / Etimesgut / 30 Ağustos Mah.
"1.450.000
TL",3 + 1,110 m²,20 Yaşında,Kot 3,Ankara / Mamak / Şafaktepe Mah.
"1.450.000
TL",2 + 1,110 m²,20 Yaşında,4. Kat,Ankara / Çubuk / Cumhuriyet Mah.
"1.450.000
TL",3 + 1,140 m²,25 Yaşında,3. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.450.000
TL",1 + 1,55 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.450.000
TL",2 + 1,100 m²,21 Yaşında,Bahçe Katı,Ankara / Altındağ / Doğantepe Mah.
"1.450.000
TL",3 + 1,115 m²,15 Yaşında,Kot 1,Ankara / Altındağ / Karapürçek Mah.
"1.450.000
TL",3 + 1,120 m²,20 Yaşında,Yüksek Giriş,Ankara / Polatlı / Zafer Mah.
"1.450.000
TL",2 + 1,100 m²,16 Yaşında,4. Kat,Ankara / Pursaklar / Fatih Mah.
"1.450.000
TL",3 + 1,120 m²,20 Yaşında,En Üst Kat,Ankara / Polatlı / Zafer Mah.
"1.490.000
TL",2 + 1,110 m²,18 Yaşında,Kot 1,Ankara / Keçiören / Kuşcağız Mah.
"1.490.000
TL",2 + 1,95 m²,18 Yaşında,Bahçe Katı,Ankara / Keçiören / Kuşcağız Mah.
"1.490.000
TL",2 + 1,100 m²,18 Yaşında,Kot 1,Ankara / Keçiören / Kuşcağız Mah.
"1.490.000
TL",3 + 1,110 m²,31 Yaşında,4. Kat,Ankara / Nallıhan / Nasuhpaşa Mah.
"1.490.000
TL",2 + 1,95 m²,30 Yaşında,Kot 3,Ankara / Çankaya / Ertuğrulgazi Mah.
"1.490.000
TL",2 + 1,100 m²,8 Yaşında,Zemin,Ankara / Mamak / Küçük Kayaş Mah.
"1.490.000
TL",2 + 1,110 m²,31 Yaşında,Bodrum,Ankara / Yenimahalle / Demetevler Mah.
"1.490.000
TL",2 + 1,90 m²,11 Yaşında,Bahçe Katı,Ankara / Etimesgut / Süvari Mah.
"1.490.000
TL",2 + 1,105 m²,20 Yaşında,Kot 2,Ankara / Mamak / Kazım Orbay Mah.
"1.490.000
TL",3 + 1,120 m²,30 Yaşında,En Üst Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.490.000
TL",1 + 1,55 m²,1 Yaşında,Yüksek Giriş,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.490.000
TL",3 + 1,110 m²,30 Yaşında,4. Kat,Ankara / Nallıhan / Nasuhpaşa Mah.
"1.490.000
TL",3 + 1,140 m²,21 Yaşında,2. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.490.000
TL",5 + 1,160 m²,20 Yaşında,,Ankara / Polatlı / Şentepe Mah.
"1.490.000
TL",2 + 1,95 m²,30 Yaşında,3. Kat,Ankara / Mamak / Demirlibahçe Mah.
"1.490.000
TL",2 + 1,220 m²,20 Yaşında,,Ankara / Polatlı / İstiklal Mah.
"1.495.000
TL",3 + 1,110 m²,30 Yaşında,Kot 3,Ankara / Keçiören / İncirli Mah.
"1.495.000
TL",3 + 1,120 m²,Sıfır Bina,Yüksek Giriş,Ankara / Mamak / Fahri Korutürk Mah.
"1.495.000
TL",2 + 1,90 m²,35 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetevler Mah.
"1.495.000
TL",3 + 1,115 m²,11 Yaşında,Bahçe Katı,Ankara / Keçiören / 19 Mayıs Mah.
"1.495.000
TL",2 + 1,105 m²,14 Yaşında,Kot 2,Ankara / Mamak / Başak Mah.
"1.495.000
TL",1 + 1,55 m²,1 Yaşında,1. Kat,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.495.000
TL",2 + 1,110 m²,40 Yaşında,Bodrum,Ankara / Yenimahalle / Demetevler Mah.
"1.495.000
TL",2 + 1,70 m²,30 Yaşında,Yüksek Giriş,Ankara / Pursaklar / Ayyıldız Mah.
"1.495.000
TL",2 + 1,65 m²,20 Yaşında,4. Kat,Ankara / Pursaklar / Ayyıldız Mah.
"1.495.000
TL",2 + 1,95 m²,20 Yaşında,Bahçe Katı,Ankara / Pursaklar / Yunus Emre Mah.
"1.499.000
TL",2 + 1,95 m²,15 Yaşında,Bahçe Katı,Ankara / Etimesgut / Erler Mah.
"1.499.000
TL",2 + 1,115 m²,15 Yaşında,Kot 1,Ankara / Keçiören / Karakaya Mah.
"1.499.000
TL",2 + 1,100 m²,14 Yaşında,Kot 1,Ankara / Mamak / Misket Mah.
"1.499.000
TL",2 + 1,75 m²,10 Yaşında,7. Kat,Ankara / Mamak / Zirvekent Mah.
"1.499.000
TL",2 + 1,115 m²,25 Yaşında,Yüksek Giriş,Ankara / Sincan / Mareşal Çakmak Mah.
"1.499.000
TL",2 + 1,95 m²,11 Yaşında,Yüksek Giriş,Ankara / Mamak / Başak Mah.
"1.499.000
TL",2 + 1,100 m²,15 Yaşında,Bahçe Katı,Ankara / Sincan / Atatürk Mah.
"1.499.000
TL",3 + 1,130 m²,25 Yaşında,2. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.499.000
TL",1 + 1,55 m²,Sıfır Bina,2. Kat,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.499.000
TL",2 + 1,110 m²,18 Yaşında,Bahçe Katı,Ankara / Sincan / Plevne Mah.
"1.499.000
TL",1 + 1,50 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.499.999
TL",3 + 1,115 m²,11 Yaşında,Giriş Katı,Ankara / Keçiören / Kuşcağız Mah.
"1.500.000
TL",1 + 1,45 m²,1 Yaşında,Giriş Katı,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.500.000
TL",1 + 1,45 m²,2 Yaşında,1. Kat,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.500.000
TL",2 + 1,95 m²,25 Yaşında,Yüksek Giriş,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.500.000
TL",2 + 1,85 m²,30 Yaşında,Kot 1,Ankara / Altındağ / Aydınlıkevler Mah.
"1.500.000
TL",1 + 1,65 m²,45 Yaşında,En Üst Kat,Ankara / Çankaya / Ön Cebeci Mah.
"1.500.000
TL",3 + 1,110 m²,21 Yaşında,Giriş Katı,Ankara / Keçiören / Yeşilöz Mah.
"1.500.000
TL",2 + 1,100 m²,30 Yaşında,3. Kat,Ankara / Yenimahalle / Demetlale Mah.
"1.500.000
TL",1 + 1,50 m²,20 Yaşında,Zemin,Ankara / Çankaya / Huzur Mah.
"1.500.000
TL",3 + 1,170 m²,16 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.500.000
TL",2 + 1,125 m²,20 Yaşında,Giriş Katı,Ankara / Polatlı / Cumhuriyet Mah.
"1.500.000
TL",2 + 1,105 m²,35 Yaşında,2. Kat,Ankara / Yenimahalle / Yeşilevler Mah.
"1.500.000
TL",2 + 1,100 m²,Sıfır Bina,Bodrum,Ankara / Çubuk / Atatürk Mah.
"1.500.000
TL",2 + 1,85 m²,5 Yaşında,2. Kat,Ankara / Akyurt / Yeşiltepe Mah.
"1.500.000
TL",1 + 1,55 m²,Sıfır Bina,Yüksek Giriş,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.500.000
TL",2 + 1,60 m²,Sıfır Bina,,Ankara / Akyurt / Yıldırım Mah.
"1.500.000
TL",2 + 1,75 m²,Sıfır Bina,Bahçe Katı,Ankara / Akyurt / Yıldırım Mah.
"1.500.000
TL",3 + 1,110 m²,20 Yaşında,Yüksek Giriş,Ankara / Polatlı / Cumhuriyet Mah.
"1.500.000
TL",2 + 1,400 m²,1 Yaşında,,Ankara / Altındağ / Kavaklı Mah.
"1.500.000
TL",1 + 1,55 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.500.000
TL",2 + 1,100 m²,11 Yaşında,Kot 1,Ankara / Mamak / Küçük Kayaş Mah.
"1.500.000
TL",2 + 1,90 m²,Sıfır Bina,,Ankara / Gölbaşı / Oyaca Yeşilçam Mah.
"1.500.000
TL",2 + 1,80 m²,36 Yaşında,2. Kat,Ankara / Mamak / Şafaktepe Mah.
"1.500.000
TL",2 + 1,100 m²,45 Yaşında,En Üst Kat,Ankara / Altındağ / Aydınlıkevler Mah.
"1.500.000
TL",2 + 1,70 m²,46 Yaşında,En Üst Kat,Ankara / Altındağ / Örnek Mah.
"1.500.000
TL",3 + 1,160 m²,30 Yaşında,4. Kat,Ankara / Polatlı / İstiklal Mah.
"1.500.000
TL",3 + 1,125 m²,20 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.500.000
TL",2 + 1,85 m²,24 Yaşında,Ara Kat,Ankara / Mamak / Zirvekent Mah.
"1.500.000
TL",2 + 1,80 m²,55 Yaşında,Bahçe Katı,Ankara / Altındağ / Aydınlıkevler Mah.
"1.500.000
TL",1 + 1,55 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Cumhuriyet Mah.
"1.500.000
TL",1 + 1,65 m²,Sıfır Bina,,Ankara / Bala / Beynam Mah.
"1.500.000
TL",3 + 1,125 m²,30 Yaşında,2. Kat,Ankara / Polatlı / Zafer Mah.
"1.500.000
TL",2 + 1,110 m²,5 Yaşında,8. Kat,Ankara / Mamak / Zirvekent Mah.
"1.500.000
TL",2 + 1,80 m²,50 Yaşında,1. Kat,Ankara / Yenimahalle / Barış Mah.
"1.500.000
TL",3 + 1,125 m²,20 Yaşında,Ara Kat,Ankara / Polatlı / Zafer Mah.
"1.500.000
TL",3 + 1,155 m²,25 Yaşında,1. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.500.000
TL",5 + 1,130 m²,2 Yaşında,,Ankara / Çubuk / İkipınar Mah.
"1.500.000
TL",3 + 1,150 m²,30 Yaşında,En Üst Kat,Ankara / Mamak / Lalahan Mah.
"1.500.000
TL",3 + 1,1.111 m²,20 Yaşında,Kot 3,Ankara / Polatlı / Yeni Mah.
"1.500.000
TL",1 + 1,70 m²,3 Yaşında,9. Kat,Ankara / Polatlı / İstiklal Mah.
"1.500.000
TL",3 + 1,140 m²,25 Yaşında,4. Kat,Ankara / Polatlı / Yeni Mah.
"1.500.000
TL",3 + 1,130 m²,20 Yaşında,Ara Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.500.000
TL",1 + 1,100 m²,20 Yaşında,Bahçe Katı,Ankara / Sincan / Selçuklu Mah.
"1.500.000
TL",1 + 1,50 m²,Sıfır Bina,3. Kat,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.500.000
TL",3 + 1,107 m²,29 Yaşında,1. Kat,Ankara / Pursaklar / Fatih Mah.
"1.500.000
TL",2 + 1,90 m²,25 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetgül Mah.
"1.500.000
TL",1 + 1,55 m²,Sıfır Bina,4. Kat,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.500.000
TL",2 + 1,120 m²,25 Yaşında,3. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.500.000
TL",3 + 1,145 m²,21 Yaşında,2. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.500.000
TL",1 + 1,45 m²,Sıfır Bina,3. Kat,Ankara / Çubuk / Yenice Mah.
"1.500.000
TL",3 + 1,140 m²,25 Yaşında,4. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.500.000
TL",2 + 1,90 m²,10 Yaşında,4. Kat,Ankara / Mamak / Zirvekent Mah.
"1.500.000
TL",2 + 1,90 m²,20 Yaşında,Kot 1,Ankara / Mamak / Şafaktepe Mah.
"1.500.000
TL",3 + 1,110 m²,30 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Karşıyaka Mah.
"1.500.000
TL",3 + 1,155 m²,1 Yaşında,2. Kat,Ankara / Altındağ / Battalgazi Mah.
"1.500.000
TL",2 + 1,110 m²,22 Yaşında,Ara Kat,Ankara / Polatlı / Zafer Mah.
"1.500.000
TL",3 + 1,115 m²,30 Yaşında,2. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.500.000
TL",2 + 1,90 m²,5 Yaşında,4. Kat,Ankara / Mamak / Zirvekent Mah.
"1.500.000
TL",3 + 1,290 m²,20 Yaşında,,Ankara / Polatlı / Çamlıca Mah.
"1.500.000
TL",2 + 1,110 m²,25 Yaşında,3. Kat,Ankara / Polatlı / Şentepe Mah.
"1.500.000
TL",2 + 1,100 m²,20 Yaşında,Kot 1,Ankara / Mamak / Saimekadın Mah.
"1.500.000
TL",3 + 1,120 m²,8 Yaşında,Yüksek Giriş,Ankara / Mamak / Ekin Mah.
"1.500.000
TL",1 + 1,65 m²,20 Yaşında,Kot 1,Ankara / Mamak / Akdere Mah.
"1.500.000
TL",1 + 1,75 m²,15 Yaşında,Kot 1,Ankara / Pursaklar / Merkez Mah.
"1.500.000
TL",1 + 1,65 m²,18 Yaşında,Kot 1,Ankara / Pursaklar / Merkez Mah.
"1.500.000
TL",1 + 1,60 m²,15 Yaşında,Kot 1,Ankara / Pursaklar / Merkez Mah.
"1.500.000
TL",2 + 1,85 m²,20 Yaşında,,Ankara / Yenimahalle / Yakacık Mah.
"1.500.000
TL",2 + 1,70 m²,20 Yaşında,Bahçe Katı,Ankara / Pursaklar / Ayyıldız Mah.
"1.510.000
TL",3 + 1,480 m²,25 Yaşında,Yüksek Giriş,Ankara / Polatlı / Mehmet Akif Mah.
"1.518.000
TL",2 + 1,90 m²,15 Yaşında,Kot 1,Ankara / Keçiören / Bademlik Mah.
"1.519.000
TL",2 + 1,100 m²,20 Yaşında,3. Kat,Ankara / Sincan / Tandoğan Mah.
"1.519.000
TL",2 + 1,100 m²,25 Yaşında,3. Kat,Ankara / Sincan / Tandoğan Mah.
"1.520.000
TL",3 + 1,130 m²,20 Yaşında,4. Kat,Ankara / Polatlı / Yeni Mah.
"1.520.000
TL",2 + 1,110 m²,26 Yaşında,1. Kat,Ankara / Yenimahalle / Anadolu Mah.
"1.520.000
TL",1 + 1,52 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.520.000
TL",2 + 1,100 m²,14 Yaşında,Yüksek Giriş,Ankara / Polatlı / Şehitlik Mah.
"1.520.000
TL",3 + 1,120 m²,25 Yaşında,1. Kat,Ankara / Polatlı / Gazi Mah.
"1.520.000
TL",2 + 1,95 m²,15 Yaşında,Kot 1,Ankara / Mamak / Saimekadın Mah.
"1.525.000
TL",2 + 1,110 m²,15 Yaşında,Giriş Katı,Ankara / Mamak / Şahintepe Mah.
"1.525.000
TL",2 + 1,100 m²,29 Yaşında,Ara Kat,Ankara / Mamak / Abidinpaşa Mah.
"1.525.000
TL",2 + 1,85 m²,34 Yaşında,Kot 3,Ankara / Çankaya / Seyranbağları Mah.
"1.525.000
TL",3 + 1,140 m²,25 Yaşında,Giriş Katı,Ankara / Polatlı / Şentepe Mah.
"1.525.000
TL",2 + 1,90 m²,25 Yaşında,1. Kat,Ankara / Altındağ / Örnek Mah.
"1.525.000
TL",1 + 1,110 m²,12 Yaşında,Kot 2,Ankara / Mamak / Mutlu Mah.
"1.525.000
TL",2 + 1,90 m²,25 Yaşında,Yüksek Giriş,Ankara / Polatlı / Kurtuluş Mah.
"1.525.000
TL",3 + 1,115 m²,21 Yaşında,3. Kat,Ankara / Beypazarı / Kurtuluş Mah.
"1.525.000
TL",1 + 1,45 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Dumlupınar Mah.
"1.525.000
TL",3 + 1,115 m²,21 Yaşında,3. Kat,Ankara / Beypazarı / Ayvaşık Mah.
"1.525.000
TL",2 + 1,115 m²,25 Yaşında,2. Kat,Ankara / Polatlı / İğciler Mah.
"1.525.000
TL",3 + 1,145 m²,16 Yaşında,4. Kat,Ankara / Kahramankazan / Fatih Mah.
"1.525.000
TL",3 + 1,130 m²,16 Yaşında,En Üst Kat,Ankara / Polatlı / Gazi Mah.
"1.525.000
TL",3 + 1,130 m²,20 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.529.000
TL",2 + 1,110 m²,20 Yaşında,Giriş Katı,Ankara / Sincan / Mareşal Çakmak Mah.
"1.529.999
TL",3 + 1,130 m²,25 Yaşında,5. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.530.000
TL",1 + 1,45 m²,Sıfır Bina,Yüksek Giriş,Ankara / Keçiören / Şenyuva Mah.
"1.530.000
TL",2 + 1,95 m²,19 Yaşında,Kot 1,Ankara / Mamak / General Zeki Doğan Mah.
"1.530.000
TL",1 + 1,60 m²,Sıfır Bina,2. Kat,Ankara / Çubuk / Yenice Mah.
"1.530.000
TL",2 + 1,85 m²,10 Yaşında,Ara Kat,Ankara / Mamak / Kusunlar Mah.
"1.530.000
TL",2 + 1,65 m²,4 Yaşında,,Ankara / Gölbaşı / Dikilitaş Mah.
"1.530.000
TL",2 + 1,120 m²,18 Yaşında,Kot 1,Ankara / Mamak / Tuzluçayır Mah.
"1.530.000
TL",2 + 1,95 m²,15 Yaşında,Kot 1,Ankara / Mamak / General Zeki Doğan Mah.
"1.530.000
TL",3 + 1,130 m²,25 Yaşında,En Üst Kat,Ankara / Polatlı / Yeni Mah.
"1.530.000
TL",2 + 1,108 m²,12 Yaşında,1. Kat,Ankara / Mamak / Şahintepe Mah.
"1.530.000
TL",2 + 1,100 m²,5 Yaşında,Giriş Katı,Ankara / Altındağ / Karapürçek Mah.
"1.535.000
TL",2 + 1,100 m²,8 Yaşında,Kot 1,Ankara / Altındağ / Beşikkaya Mah.
"1.535.000
TL",3 + 1,115 m²,25 Yaşında,Bahçe Katı,Ankara / Keçiören / Etlik Mah.
"1.539.000
TL",2 + 1,90 m²,9 Yaşında,Kot 1,Ankara / Keçiören / Atapark Mah.
"1.539.000
TL",2 + 1,100 m²,5 Yaşında,Kot 1,Ankara / Keçiören / Atapark Mah.
"1.540.000
TL",3 + 1,130 m²,20 Yaşında,5. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.545.000
TL",2 + 1,130 m²,30 Yaşında,Bahçe Katı,Ankara / Mamak / Tuzluçayır Mah.
"1.545.000
TL",2 + 1,130 m²,11 Yaşında,Kot 2,Ankara / Mamak / Abidinpaşa Mah.
"1.545.000
TL",1 + 1,50 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.545.000
TL",2 + 1,75 m²,35 Yaşında,Kot 1,Ankara / Mamak / Demirlibahçe Mah.
"1.545.000
TL",3 + 1,110 m²,23 Yaşında,Bahçe Katı,Ankara / Sincan / Mareşal Çakmak Mah.
"1.548.000
TL",2 + 1,110 m²,5 Yaşında,Kot 1,Ankara / Keçiören / Kanuni Mah.
"1.549.000
TL",2 + 1,90 m²,25 Yaşında,Yüksek Giriş,Ankara / Sincan / Selçuklu Mah.
"1.549.000
TL",1 + 1,60 m²,Sıfır Bina,Yüksek Giriş,Ankara / Sincan / Fevzi Çakmak Mah.
"1.549.000
TL",2 + 1,105 m²,19 Yaşında,Yüksek Giriş,Ankara / Sincan / Selçuklu Mah.
"1.549.000
TL",2 + 1,85 m²,35 Yaşında,2. Kat,Ankara / Sincan / Fatih Mah.
"1.549.000
TL",3 + 1,100 m²,13 Yaşında,Kot 1,Ankara / Mamak / Başak Mah.
"1.549.000
TL",2 + 1,95 m²,13 Yaşında,Yüksek Giriş,Ankara / Sincan / Selçuklu Mah.
"1.549.000
TL",2 + 1,100 m²,5 Yaşında,Kot 1,Ankara / Keçiören / Kanuni Mah.
"1.549.000
TL",2 + 1,100 m²,20 Yaşında,Yüksek Giriş,Ankara / Sincan / Selçuklu Mah.
"1.549.000
TL",3 + 1,120 m²,20 Yaşında,Bahçe Katı,Ankara / Sincan / Tandoğan Mah.
"1.549.000
TL",2 + 1,120 m²,23 Yaşında,Yüksek Giriş,Ankara / Sincan / Selçuklu Mah.
"1.549.000
TL",2 + 1,95 m²,11 Yaşında,Yüksek Giriş,Ankara / Sincan / Selçuklu Mah.
"1.549.000
TL",2 + 1,75 m²,30 Yaşında,Giriş Katı,Ankara / Keçiören / Karargahtepe Mah.
"1.549.000
TL",2 + 1,110 m²,21 Yaşında,Yüksek Giriş,Ankara / Sincan / Selçuklu Mah.
"1.549.000
TL",2 + 1,110 m²,16 Yaşında,Yüksek Giriş,Ankara / Sincan / Akşemsettin Mah.
"1.549.000
TL",2 + 1,100 m²,Sıfır Bina,Giriş Katı,Ankara / Mamak / Ekin Mah.
"1.550.000
TL",2 + 1,85 m²,5 Yaşında,Giriş Katı,Ankara / Mamak / Yeşilbayır Mah.
"1.550.000
TL",3 + 1,135 m²,20 Yaşında,4. Kat,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.550.000
TL",2 + 1,70 m²,25 Yaşında,4. Kat,Ankara / Pursaklar / Ayyıldız Mah.
"1.550.000
TL",2 + 1,90 m²,10 Yaşında,Ara Kat,Ankara / Mamak / Kusunlar Mah.
"1.550.000
TL",3 + 1,120 m²,22 Yaşında,En Üst Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.550.000
TL",2 + 1,90 m²,35 Yaşında,Giriş Katı,Ankara / Yenimahalle / Demetlale Mah.
"1.550.000
TL",2 + 1,95 m²,16 Yaşında,Yüksek Giriş,Ankara / Altındağ / Battalgazi Mah.
"1.550.000
TL",2 + 1,70 m²,40 Yaşında,Ara Kat,Ankara / Sincan / Ulubatlı Hasan Mah.
"1.550.000
TL",3 + 1,125 m²,35 Yaşında,Yüksek Giriş,Ankara / Yenimahalle / Demetlale Mah.
"1.550.000
TL",3 + 1,120 m²,25 Yaşında,Kot 2,Ankara / Keçiören / Etlik Mah.
"1.550.000
TL",1 + 1,55 m²,12 Yaşında,Zemin,Ankara / Yenimahalle / Varlık Mah.
