Fiyat,Oda Sayısı,Metrekare,Bina Yaşı,Kat Durumu,Bina Konumu
"1.275.000
TL",3 + 1,130 m²,11 Yaşında,Bahçe Katı,Ankara / Akyurt / Yıldırım Mah.
"1.275.000
TL",3 + 1,145 m²,11 Yaşında,3. Kat,Ankara / Akyurt / Güzelhisar Mah.
"1.280.000
TL",3 + 1,110 m²,30 Yaşında,3. Kat,Ankara / Mamak / Küçük Kayaş Mah.
"1.284.999
TL",1 + 1,55 m²,Sıfır Bina,Yüksek Giriş,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.285.000
TL",1 + 1,65 m²,25 Yaşında,Bahçe Katı,Ankara / Mamak / Demirlibahçe Mah.
"1.289.000
TL",2 + 1,110 m²,17 Yaşında,Yüksek Giriş,Ankara / Mamak / General Zeki Doğan Mah.
"1.290.000
TL",3 + 1,120 m²,5 Yaşında,3. Kat,Ankara / Mamak / Yeşilbayır Mah.
"1.295.000
TL",3 + 1,130 m²,15 Yaşında,Bahçe Katı,Ankara / Polatlı / Şentepe Mah.
"1.295.000
TL",1 + 1,50 m²,Sıfır Bina,1. Kat,Ankara / Polatlı / Şentepe Mah.
"1.295.000
TL",2 + 1,80 m²,31 Yaşında,1. Kat,Ankara / Yenimahalle / Anadolu Mah.
"1.295.000
TL",1 + 1,55 m²,Sıfır Bina,1. Kat,Ankara / Polatlı / Şentepe Mah.
"1.295.000
TL",4 + 1,210 m²,30 Yaşında,3. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.295.000
TL",3 + 1,125 m²,25 Yaşında,En Üst Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.295.000
TL",3 + 1,100 m²,11 Yaşında,Kot 1,Ankara / Mamak / Kutlu Mah.
"1.298.000
TL",1 + 1,70 m²,11 Yaşında,Bahçe Katı,Ankara / Sincan / Pınarbaşı Mah.
"1.298.000
TL",1 + 1,75 m²,11 Yaşında,Bahçe Katı,Ankara / Sincan / Pınarbaşı Mah.
"1.299.000
TL",2 + 1,85 m²,20 Yaşında,Kot 1,Ankara / Sincan / Atatürk Mah.
"1.299.000
TL",3 + 1,120 m²,21 Yaşında,Bahçe Katı,Ankara / Sincan / Plevne Mah.
"1.299.000
TL",3 + 1,120 m²,25 Yaşında,Bahçe Katı,Ankara / Sincan / Plevne Mah.
"1.299.000
TL",3 + 1,100 m²,25 Yaşında,Bahçe Katı,Ankara / Sincan / Plevne Mah.
"1.299.999
TL",3 + 1,135 m²,30 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.299.999
TL",3 + 1,130 m²,25 Yaşında,2. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.300.000
TL",2 + 1,110 m²,30 Yaşında,Yüksek Giriş,Ankara / Polatlı / Şentepe Mah.
"1.300.000
TL",3 + 1,140 m²,30 Yaşında,En Üst Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.300.000
TL",2 + 1,85 m²,10 Yaşında,3. Kat,Ankara / Mamak / Zirvekent Mah.
"1.300.000
TL",1 + 1,60 m²,2 Yaşında,,Ankara / Gölbaşı / Hacımuratlı Mah.
"1.300.000
TL",1 + 1,75 m²,25 Yaşında,Kot 1,Ankara / Mamak / Saimekadın Mah.
"1.300.000
TL",3 + 1,120 m²,40 Yaşında,5. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.300.000
TL",2 + 1,110 m²,25 Yaşında,1. Kat,Ankara / Mamak / Lalahan Mah.
"1.300.000
TL",1 + 1,45 m²,1 Yaşında,2. Kat,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.300.000
TL",2 + 1,90 m²,30 Yaşında,Ara Kat,Ankara / Polatlı / Esentepe Mah.
"1.300.000
TL",2 + 1,60 m²,30 Yaşında,Yüksek Giriş,Ankara / Altındağ / Örnek Mah.
"1.300.000
TL",3 + 1,135 m²,25 Yaşında,Yüksek Giriş,Ankara / Polatlı / Fatih Mah.
"1.300.000
TL",3 + 1,135 m²,25 Yaşında,Ara Kat,Ankara / Polatlı / Yeni Mah.
"1.300.000
TL",1 + 1,80 m²,26 Yaşında,Bahçe Katı,Ankara / Sincan / Mareşal Çakmak Mah.
"1.300.000
TL",1 + 1,55 m²,30 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetlale Mah.
"1.300.000
TL",2 + 1,100 m²,30 Yaşında,Ara Kat,Ankara / Polatlı / Şentepe Mah.
"1.300.000
TL",5 + 2,102 m²,31 Yaşında,Bahçe Katı,Ankara / Ayaş / Şeyhmuhittin Mah.
"1.300.000
TL",3 + 1,125 m²,25 Yaşında,4. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.300.000
TL",2 + 1,115 m²,25 Yaşında,En Üst Kat,Ankara / Çubuk / Yavuzselim Mah.
